pokemon_names,img_front_a_hashes,img_back_a_hashes,img_front_p_hashes,img_back_p_hashes,img_front_d_hashes,img_back_d_hashes,img_front_crop_hashes,img_back_crop_hashes,img_front_large_crop_hashes,img_back_large_crop_hashes
bulbasaur,001e7efffe7e6e08,00787eff7f7e7610,ff6b6b2b3b3928ab,ffe1c19993938aab,1eb4b0a3aac8d8da,80d2f23aaae4e4a4,"1ab4b0a1a1ccdddb,194c661666987a58,e0d08442a1d24469,0e9011989ad2c4d8,1eb4b0a3aac8d8da,4086254b93465d33,3c4673b1b3b2d44f","a0d2f27a7acc4424,67cd989010c681e5,f8f4c28142a4cd69,8ff677e6a6b4dce4,80d2f23aaae4e4a4,fd9e5b2d36994533,439d317232b2c405","02eec892cac8894c,94b0a3a1ccdcd9da,12196c2676897a58,a15c18b2b4b2585c,9e78e0e8d0c2f07c,e0e098a4a2d46d31,1c80119898d2c4e8,e5c8ca81c362b09c,c61860c0a282a2c4,c69c60d9e2f2e4c5,3361c8c48a9c0401,73e1c4848a86d8c0,1eb4b0a3aac8d8da,4086254b966e5d33,c00c7c646c6d2127,e9f164ce8e8ece4d,872b49cd8c8c8acb,a1cc1825c5751dc1,9092d4e1a7f3f2cc,c18d31c040209847","8188ecb6a4ec6e8d,d6f23a7accc464a4,b767c899906ea1c5,78c484b292b2c4c4,8681d0c8c088c0c1,78f8e4c2a2d44933,87de76e6e6b0dce8,580c8c1e34b9f2c6,9ce7d9fc9abe9a9c,9cc6d964a0b0d85c,3379ecdcaec6df1f,3168dcdcae9ee47c,80d2f23aaae4e4a4,f99e532d96894533,fccfc1c9c9496b1b,6870d98c8e8c8c4d,1e2b6d4cce4eac2c,7acce75b5c51473c,76b6d4781a30b0cc,7c4e73fcfdfbe61c"
ivysaur,103efeff3f7e3e28,087c7ffffc7e7c14,ff9999193d3d2f2d,ffb3b3b39797a797,7464ac8adaf062da,d0d9caaea4f0b9a4,"82c140c68991a5a6,5938e0cc82fe6eb4,c48c587b6060a632,d3d2ca429044c0e4,de38e5992b7bb2b2,b2191db6df1b31c9,7464ac8adaf062da,7d9ccecf4d4c4b7e","9e78fd9c6e365a9a,24e2f8cc968001d2,dccee521b9f99ab3,34b4acbdf699fcd8,84e158662b21b2b2,b26747920421726c,d0d9caaea4f0b9a4,41c68c0c4dcd2d81","84e1c0cc8a936126,6d9a70e4c4bcfe5b,1fbde1faf2f47933,60a2b288df906044,95d6c4e9d3a6cfcd,d3d2cae2c0e0c0ec,18527262648c2636,c1948292a1040831,8da6b30944525726,4023086048010284,d4b8b06021c6f439,3ef202aed4643499,993a72712294c963,4f3c71d92b7b92b3,0c1c3c76ee787c87,c6a452999d57a9d6,b4e364c8d1e0c488,4ce5b1b938ccf63f,7671d99c9c1eeefe,66d3c984e4c2fe3f,73e9cc844282faff,7464ac8adaf062da,703c0f6f595f3c72,065b6915c9641289,5c9e879796958ff8,460e93392d614f7c,72dce6a345653187","5e38fcccae36599b,48a4f1d8d4c28025,014238a090d06133,78bab2e604f6f9dd,1284c06830980c4c,34b4acb8fcd8f4c8,e7b5b1b9d9ce9b93,7cc486a25a9fc373,4c98326fc5b1159b,f1030901090193c2,54a2b249319cd061,83b0af82d4d9d366,62a3b121a2d66c39,04c170642321b632,c8c4c28188a1c11e,90dab46446152a94,c020d0e874b85c2e,cd587262e3cc9000,917164c6c2878880,99346cdcd8bc8000,3168ccdeb9bea000,d0d9caaea4f0b9a4,71c307096505c331,9f2569536cd9b16e,c586161696540ee0,9d8f36634b790dc1,b1c4983a5d49631e"
venusaur,3c7e24fe7e7e3c04,3c7e247f7e7e3c20,9ebe9fafafaeaeaf,b6be3dafafaeaeaf,e8cccca2e8f0d449,e8ccccbae8f0d46d,"b973c6922169f285,c6617884f2d17034,e60cccf0f8ac49d9,aad4d6c62e86e071,73369ea8f0c4e8b1,e8cccca2e8f0d449","62319cb67b69b05c,9c39e1de3074f1d3,18c0ccf0e0ca6d64,aad4949c8b9ae871,31930628f0c4e862,e8ccccbae8f0d46d","bc64edc2f1f1d845,e2d1f0f43034b437,4c4caa1ad9e54474,3960ce3281d36e78,3064f3c6cc9c3d6d,98aac2c46023974c,80f018ca464221c5,993276f4a4a95352,c693d8e26838b8ba,660eccf0f8ad49d9,aad4d6c6ae86e071,61f05c66a290d84c,3672d9b436666625,068636369cc8c071,3a9e93938eecc079,b0b0b01040200040,77338988d2556b39,e13296c8b2f0c469,d6ced87068f0562c,61e08062a1c2e078,b974e4ca8a9e3000,3964d2a24286c8e0,9c34e69e3efef07e,e8cccca2e8f0d449,890646164ecc709b","c2d948bc7070a45d,b874f0d0f3d3d213,cdcdaaa72458dd91,63f98ca3463489e1,e6aab89cf93b16cd,f2d9309cccc64349,3ef0e3ac9dbd635c,66b391d0da6a34b5,9c36e4a8c9e3e2a2,9080ccf0e04a6d64,aad4949c8a9ef871,39f0c599b276e4cd,93b164d29399995b,9e9e939386cce071,a38636368c48c061,d2f2f2f3f1f1f979,11336ec6b4552963,783386ccb2c0cc69,948ce4d1e9f095cb,79f0fc397abcf8e1,62d1d8acae86f33f,63d9b4babd9eec78,c6d3888683808080,e8ccccbae8f0d46d,6e9d9c978dc8e126"
charmander,6070707179787c4c,060e0e8e9e1e3e32,8f8f87848c8c8387,2d2d2e2e2e2e2b2f,c2c0c3e3e3c2d099,3c5c1c3838bcf466,"e2c0e0e0e060d48e,3c5a323ccc38f204,c2c0c3e3e3c2d099","b87c78f8f8f8948e,c1a4b3c3c460b05f,3c5c1c3838bcf466","e2c0e0f0e060d08e,70c0a2c0a09ae078,c7e3c1a8c4e4f87c,1879c8c4c48cd0e0,1e3c7ce2c4a599e2,e6d1a40682c0683e,050b260e7c6499a2,78d88c8693a8f841,1dfae234c932c408,2e5cba66ccd9a306,8958b262ccd98306,29b83266ccc0810c,88c4e27178b4da7c,cde6b3b91ccefb1e,98cce5f3b9f47c8e,c2c0c3e3e3c2d099,0cc6c7e56d1d6567,ccacd167ad99d96a","b8fc78f0f8f8f48e,f1c0b2a080a4c0e1,1c3870e8d4d880c1,6061ecdcdccef4f8,87c2c1a8d45a66b8,1874ca9f9efcc983,00209080c1d866ba,e1a4ce9e36ea607d,40a0b8d26cb35c27,88c4a299cc643a9f,6ee5b299cc643e8f,6be2b399ccfc1ec7,2e5cb871e1d284c1,4c983262c38c0081,e6cc583062d0c182,3c5c1c3838bcf466,cf9c185849465919,ccca74194a6664a9"
charmeleon,1070303bbf3c7c48,080e0cdcfd3c3e12,bb999c8e8f8f8f8f,bb33362425252727,64c1e6e26360d899,d87c98b839f9e466,"873cf0d0a1cd8202,0481d0e4a4f2e870,e16062c2c3e02098,4e9870e8d1929488,64c1e6e26360d899","02c1f0b47a4cbebf,cf3ef4d8dab0e8f1,38f9b9bc3c78fbe6,88e2f1e874b65626,d87c98b839f9e466","873cf0c0aacd8204,a4f2f9ecfcde1f07,f3c9b4b0d2d2c2c4,82c0e0f6e07831e4,c481908602434b4b,71e0848298c0723e,2e5cb874c8d1b092,f1c0028488010408,c38082e2a2c469b9,e6c6a393a9c0f03f,f0c8b0185262a0e8,8180a2a0c0c06131,f080a2868d9b8204,6c3c366b64d8b102,4f9d72ecd8b081c4,861c9aa4a4d96204,707060e8d020c447,e0c281a0d068b4d9,9e76cd9a366d63c3,1998b2634c908104,b271e5c6ce808006,d1b462e3c2e07098,31c4c6838cc8c1c4,64c1e6e26360d899","04c1f0f4aa4cbe9f,5ab060c8c0800107,306cd2f2b4b4bcdc,1e7cf890f8e030d8,dc3ee69ebf3d2d2d,71f8debee6fcb183,88c4a2d1ec74f2b6,70f8bedcee3bdf27,3cf0bcb8badc6962,98983a3062f8c001,f0e4c2e7b4b9dac8,7ee0baf8f8fc7973,f0f8ba9e4c26be5f,c9c39329d9e4729f,0842b1c8c4f27ecc,86c7a4d2da60b95e,f0f0f9e8f4fbdc1d,183c7af2e4e9d264,82914ca69348391c,67e6b239ccf63ecf,b271589c8cfe3e07,74d2b938bcf8f1e2,73dc9c3eceec3cdc,d87c98b839f9e466"
charizard,1058eb3f19397c20,081ad7fc989c3e04,9c98999b9193c3e3,363233333b3b6969,e092967173f3e8cc,f8b696713130e8cc,"b1999bf9f9f8f2c6,ecf0c8a00ce20c06,13080601004080e0,d9f8ecc8f0b2b888,e092967173f3e8cc","7266266060e0b09c,483008020530cf83,36e89040800106c0,6460c8ecf0b2e2ee,f8b696713130e8cc","417133f3f3f0a40e,4f3af0e9e18d0e76,c2b1c8e470b85c3e,4f2022908441900e,77fc72d2a6c20c06,070b162d6d1b77c6,0012098681a0c0f8,61ead68a001539d9,c0c1c91c2ac2e27c,f3d978ccc0b2b0c8,b970c3d2a4a0c1c5,050b16cc1cf0c910,1dfa868cb1e28410,81573ca2d2d26e70,2771d8669ae6799f,3673d98ce4fe3e4f,4be7b399c8fc3e8e,63c89678f0e0781e,e092967173f3e8cc","7d71333030f0da8f,04a0e068784e8391,bc72e4c8f1e2c480,050b0b16c63df68f,10c0b08482a8cf83,002090404821109c,fab4689242828ce0,79a8948202132324,1874044783a498c0,3064e0ccfcb2f2ec,22f13cb4da5a7c5c,402090c8c1f06cf7,40a09ece72b84e27,7a1543ba848489f1,1b71e49186986002,933164cec8808104,2d183266ecc08182,39ec86a1e0f0c083,f8b696713130e8cc"
squirtle,303838787c7f7f08,0c1c1c1e3efefe10,9c9f9f9f97878797,363735353d2d3d3d,60c2f2d1c8c2d298,b9bcb0746cbca4e6,"f0cce6e6a5bac6d9,e4a4e36aeadecec6,186c76f9fefdf0e4,3c6043cb995a0cc0,60c2f2d1c8c2d298,b13119072f9e9a76","f0cc98985aa29c64,d8da38a8a8848c8c,e6c890400040f0d0,c3f93d0c66a5cff8,b9bcb0746cbca4e6,626363070b86a690","f0cce6e6a5bac6d1,78c092c0c0a2f0f0,272f3e1e9c9c9df9,1b668e3cec857d04,10886432f95c6621,279e31e1bbe3b2f6,1cc1b2888dc56109,583021685214b163,90c8ec2a2d7d5c58,5ee0b8e8eac2784e,c60cfcd93b99dc06,d6e4a5889093807e,cca7b1acb2d4e9f3,f20efc9432a65227,c6b0a68ed47e3c99,386062cf884a8ce0,19dc30608599721a,796dc6c1c1c690e0,70cc946ce8d2c6d9,5acca6b2d46a323c,60c2f2d1c8c2d298,9931390f2f9e9a36","f0cc98985aa29c64,e1c0a2a0a0a2c0f0,130b0387c6c64640,24998ec3c85e41df,172e59b360c59963,088670782030b290,c77cb2ee4e5c796e,e5f27be9b5d77219,76ecc0ab4341c5e5,85f8e2e8a8bce181,98cfc0642366c49f,94d85aee7636fe81,cc1a72caa2d46830,b08fc0d6b29ab11b,9cf29a8ec4818366,e3f9b90ceeaccef8,67c4f1f85e6631a7,60499c7c7c9cf678,f1ccc2c9e8a49c64,a5cc9ab2c4a9b3c3,b9bcb0746cbca4e6,666363070b86a691"
wartortle,40787a7f7f3f3e04,021e5efefefc7c20,f7e5a6a2a2969793,6b4e0e08083c3939,88d8d2c6d262e4cc,6664b49cb4b8d8cc,"9998d2c6d262e0dc,88d8d2c6d262e4cc,cda4a4e181668e8c","6666b49cb4b8f8c4,6664b49cb4b8d8cc,4cda58787e998ece","71e8e482cbe3a6d8,4f3ce0dea469d2e0,394bbba3e444f543,e08c68ec8aaeb8c0,32313c2c6ed69a02,c3d4c5c4faba5923,3bf04458b0d6d47e,f1c020d06832da6c,3677e299a898a0c3,d9c3ceb1a852acb9,ecc0b48983a68dda,46c291a08080bec0,86a199858484f2c6,9c78e4c2038af67e,ce1c72e2d23ae4fc,9ec266bdd9631ac4,d9dc4a8ea6737cc2,f00630a481c9d212,f989c1dc6832180d,265783c0c0c662d9,bd66d2c1a48680c1,1846d288a6d66a7c,88d8d2c6d262e4cc,3144b6368e8e864c","71e8d8ae2c389ae4,04c2f884da69b4f8,632d222ad8dd5035,e8cee9c8ae8ae27c,3373c3cb8994a6bf,3cc454cca0a2653b,21f0cde5f094d080,70c0e2f4e9b3a4c9,9311b866eae2ea3c,643c8c72caa5ca62,c880d268369a4ea4,9db872f8fabe82fc,9e7a6656d6cea094,c2c1d8bc3b8e9080,8c87a1a8b4a3d8c0,82bc99426439a7dc,6444ad8e9831c1bc,309fb1da7e6cb4b7,606e7cc4e992e74f,9b153efcfc9cb964,4299b47cda9efe78,e79d34ea9a94a9c1,6664b49cb4b8d8cc,72dd92938e8e9ecd"
blastoise,0c1c7e767cdcfccc,30387e6e3e3b3f33,363727272f2731b0,8e9f8f8d8f8f9b1a,18bcc6cca9b8a018,e0c29ccc6a62fae7,"1cb8e2c6ac98b02c,d1982c369cc86374,18bcc6cca9b8a018","c0e2b89ccae6f2cb,74e6cb93c6ec38d0,e0c29ccc6a62fae7","e8e0d6dcd99296ae,81d06e613430b1b3,436e3ed26ab47831,79e78931b1333333,f1982c369cc863f4,de5cb4b0f0be686c,a64d9a3665db9664,1c3460e0e0ccd811,cb838b9abe5c1932,61eca65a9f32c479,6e9c3ae6dce0e082,692ce6ea591679c3,88c4e2b1b89cc6ff,ce1e76ce1ee67a1e,90b72edeac7c1992,9e78e29122427272,a26138d04a2da4e4,42993d2648926edb,b49a94a061c78e38,c892eb92a4b8e182,7870e0c4c1839605,1c1c3c77e6ccb182,0884e27198cc66f6,4a67d3d9acbef2fe,71ccd281818608c1,18bcc6cca9b8a018,841c46e3a37c72cc,7c3f23151396ccc9","68f894c464b6968a,7ef48979d3e37232,3d8983b4a9d2e173,20182e7372333332,70e6cb93c6ec39d0,84c5d0f29082e9c9,9a4d2693492492d9,c7d3e9f8d8cce474,2c3e2ea282c567b3,79c89aa50693cc61,88c2a398c4d8f8bc,69cb98a86596613c,2e5cb872e2c69c00,8c87918c8798a081,76128b84cac167b6,82e1b87083b5b1b1,9a79e3f4ad4ad8d8,ad66438b85920104,92a6d6fa791c0ee3,ecb628b6dae2789e,e0f1f8dc7c3e965f,87c7c31198c4709c,275eb871e6cc9890,ad1934644a82a080,71ccb4466e9eef7c,e0c29ccc6a62fae7,dec79d383ac1310c,c10333573796cc6c"
caterpie,7878787c7d393c1e,1e1e1e3ebe9c3c78,9c9f9f9392908484,36353d393b3e2e2e,42a0a1d8c9e360bc,bdfa7a646c38f9c2,"2c193232b4d8e3e6,c4c4ba29398ca485,63cd8c46d2b9c0e3,02268dffdaf65470,a6e652c2c6f3799e,78e6947890408184,8bbdfa5252cc5166,92903cd696cc725e,89f8e1eee4310748,42a0a1d8c9e360bc,36617c3c4c65398f","c867a3b3d2e43890,dcdca26b63ceda5e,394cce9db462fc38,af9b4e00a490d5f1,9a98b5bc9c306082,e098c6e1f0fd3e9c,0e42a0b5b5cc6599,b676c39492c41185,6ee07888d8730ce8,bdfa7a646c38f9c2,9369c1c38d59630e","e0c4ba3b398cac85,593a32b49cd9e3e7,e096333d2b9bc631,63c98c244298d0c0,9a268dffdaf25470,63c996ba4ca0c2fc,8c9ea0d4696b69f1,78e69ca8d081a2c4,c3998c98b081e27c,394c8088e1a2cc71,9e85f852706d7366,e61ac1a0c654a4b6,d2903876964c324e,e8d4e27189f73a1e,70c683a3a182c4e1,5f2f9289a6d3e87c,1cf8c27630bcb1a2,03c9f0e4e4b1a8c0,a1348ca0c0c260b1,060b18366292e479,733eb8246851c204,42a0a1d8c9e360bc,e89cb23b2b934631,3e637d3c4d653b8f","f8dca22363ceca5e,65a3b3d2c6643818,f89633432b269c71,396ccedbbde4f4fc,a6934c00a4b0d5f1,396c96a2c1f2bcc0,ce86cad469296970,e198c6e2f07eba5c,3c66cee6f27eb8c1,63cde6e278bacc71,865ee0b5f1493199,98a378fa9cd5da92,b476e39196cda38d,e0d4b0716e10a387,f18c3e3a3abedc78,050b366e9a34e881,c0e0bc90d3c272ba,3f6cf0d8d862e2fc,7ad3cefadcbcf972,9f2fe793b9b6d861,3182e2cbe975bc4e,bdfa7a646c38f9c2,e8c6b2232b368c73,833941c34d59230e"
metapod,6060f0f8f8783c07,06060f1f1f1e3ce0,c7c3c3c3c3c3c3c2,6969696969696b6a,d0c8808092d0f03e,142c1e76b674e081,"c8c280a04eccf87c,88a5d7e26bb15c2e,d0c8808092d0f03e","6c9c7efa8dcca0c1,0c4a14b82872c488,142c1e76b674e081","b06968d4cab4c44a,64d088e01a1e979b,00c01e343464b0f8,8e8f8b86a5da6c39,76ebdda412a8c36e,c83a24b5a9934646,4c42d1949ac0719b,62623090c9e6718c,925badd6d3c96cf2,98c8cec767b3d94e,68b4da6cb65f261b,88c2e1d8e6733f1e,1084c290c88680a0,82c0b84eedfe7ecc,d0c8808092d0f03e","7269e9d4acd2dc2d,d9f4eef8a7861626,3ffc86d3d3c9f2e0,8e0c2c9e5aa4c963,912844d2a7ea3c89,ec83db5262369d9d,cd9d74d6a2fc7126,39b963766c9871c2,36254a90346cc930,26ac8c1c19326084,099224c992048820,269c78e498310283,374ebc76ec9a7cf8,8e7ce28c408080c8,142c1e76b674e081"
butterfree,0287cfde5e6e2c00,40e1f37b7a763400,c34a6b6968686262,ffe0c1c3c2c2c8c8,162e9a9cb8dce969,978ba6c6c2c46869,"3ce6c4b8a4f8d1e2,8920a1c2c573bc4e,162e9a9cb8dce969","c198dce2dae07498,4e1b7abc5c31c284,978ba6c6c2c46869","2e1cb566d2e6cc9b,c992259b2459b36b,c4a2d9600c1e981c,943a74c89ab086be,9803c6ac85f6dbc4,6ed9f6a853cf9eb1,ca8e485ab02c7cc4,c8a4918dc4321e44,1088c4e269349e48,969e334cdca28e26,3683b1aca2c0dced,98135a4a8c906021,c080a4a2c4c6bcf0,1c62d2824c1c1000,02b292d1d8cc6167,f08ea2c8b0daceda,70c091c081c20499,f29cced9e6f3dac4,8c3acca4b4d4e078,81d061e1c1f5366c,e9932088a489e83e,b49cc7f0dcfad86c,e8f77eb7d9488e87,5390b9b09ce2bb9f,1fc06a124ce6934d,c0da96c6e6341cc6,3d67d1acd24428a1,1531c9b4a4da52fc,05b6d2cb5554627e,5564e0d8c672b85e,fec2c0b8c5e339de,162e9a9cb8dce969","8bc75299b4984c06,6cb65924db653229,5cba64e1cf86e6c7,d6a391ac86f29e82,063e980a5e9024dc,892490ea350c8632,ac8eada5f2cbc1dc,ecda724accb386dc,132e5cb869d386ed,9686330984b28e9b,933e72caaa84c448,a617a5adcee6f17b,fcfed89a9c9cc2f0,c7b9b4bacdc7e77f,bfb2b674e4c47919,f08a828c90a48ca4,f1bc76fc7eacc366,90c60c649830a4d8,cea3ccd2d2d4f8e1,78f469787c5093c9,6036f3e2da6ee883,92c61cf0c4a0a4c9,c810811264ec8a1e,35f662f2c6382206,07fca9b7cd98364d,fc84968c98d3c79c,431974cab4d5eb7a,57736cd2daa4a5c0,5b92b42c55c1b980,50d9f8e48cb1e284,80b8f8e21c386284,978ba6c6c2c46869"
